FPR,TPR,Threshold
0.0,0.0,inf
0.0,0.00023866348448687351,2.384185791015625e-07
0.0,0.0026252983293556086,1.1920928955078125e-07
0.0,0.005727923627684964,-0.0
0.0,0.15823389021479714,-0.2188866138458252
0.0,0.15871121718377088,-0.21910417079925537
0.0,0.6575178997613366,-0.38590478897094727
0.00023866348448687351,0.6575178997613366,-0.3859320878982544
0.00023866348448687351,0.6758949880668258,-0.39351773262023926
0.00047732696897374703,0.6758949880668258,-0.3935610055923462
0.00047732696897374703,0.6813842482100239,-0.3957648277282715
0.0007159904534606205,0.6813842482100239,-0.3957875967025757
0.0007159904534606205,0.6911694510739856,-0.39980441331863403
0.0009546539379474941,0.6911694510739856,-0.39983314275741577
0.0009546539379474941,0.794272076372315,-0.45384418964385986
0.0011933174224343676,0.794272076372315,-0.45384424924850464
0.0011933174224343676,0.8021479713603819,-0.4600685238838196
0.001431980906921241,0.8021479713603819,-0.4604376554489136
0.001431980906921241,0.8047732696897375,-0.4617021083831787
0.0016706443914081145,0.8047732696897375,-0.46199923753738403
0.0016706443914081145,0.8078758949880668,-0.4637554883956909
0.0019093078758949881,0.8078758949880668,-0.4638381004333496
0.0019093078758949881,0.8174224343675418,-0.46990758180618286
0.0021479713603818618,0.8174224343675418,-0.4699789881706238
0.0021479713603818618,0.8350835322195704,-0.48190104961395264
0.002386634844868735,0.8350835322195704,-0.48208868503570557
0.002386634844868735,0.8513126491646779,-0.4943273067474365
0.0026252983293556086,0.8513126491646779,-0.4944570064544678
0.0026252983293556086,0.8601431980906922,-0.49997401237487793
0.002863961813842482,0.8601431980906922,-0.5004934966564178
0.002863961813842482,0.8610978520286396,-0.50220787525177
0.0031026252983293555,0.8610978520286396,-0.502460777759552
0.0031026252983293555,0.8663484486873508,-0.5061057209968567
0.003341288782816229,0.8663484486873508,-0.5061525106430054
0.003341288782816229,0.8673031026252983,-0.5070458054542542
0.003579952267303103,0.8673031026252983,-0.507047712802887
0.003579952267303103,0.869928400954654,-0.5091808438301086
0.0038186157517899762,0.869928400954654,-0.5093618333339691
0.0038186157517899762,0.8725536992840095,-0.5115675926208496
0.004057279236276849,0.8725536992840095,-0.5118343830108643
0.004057279236276849,0.8747016706443914,-0.5150755047798157
0.0042959427207637235,0.8747016706443914,-0.5152458250522614
0.0042959427207637235,0.8758949880668258,-0.5172465443611145
0.004534606205250597,0.8758949880668258,-0.5173293650150299
0.004534606205250597,0.8778042959427208,-0.5191303789615631
0.00477326968973747,0.8778042959427208,-0.5191313624382019
